,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,REM_AREA,POP_ESTpoly,REM_AREApoly,POP_DIFF,TOTALFRACT,NEW_POP,NEWDENSITY
0,221.0,8.0,11.0,9.0,0.0,242.0,0.0,0.0,0,40.63368086893699,22,-40.63368086893699,0.0,0.0,0.0
1,242.0,1.0,11.0,10.0,18.0,3257.0,0.0,0.0,0,255.7619771154486,926,-237.7619771154486,0.0,0.0,0.0
2,274.0,13.0,21.0,1.0,0.0,51.0,0.07837837837837838,1.018918918918919,0,10.719632892399906,0,-10.719632892399906,0.09505166167036565,0.0,0.0
3,298.0,38.0,22.0,1.0,27.0,51.0,0.25528194667055226,9.700713973480987,0,10.719632892399906,0,16.280367107600092,0.9049483383296344,24.43360513490013,0.6429896088131614
4,322.0,1.0,22.0,2.0,4.0,25.0,0.25528194667055226,0.25528194667055226,0,9.684939741347357,4,-5.684939741347357,0.025986470348049007,0.10394588139219603,0.10394588139219603
5,346.0,3.0,21.0,4.0,10.0,27.0,0.07837837837837838,0.23513513513513515,0,6.361901855228389,0,3.638098144771611,0.0369598809421894,0.36959880942189405,0.12319960314063134
6,347.0,8.0,22.0,3.0,4.0,70.0,0.25528194667055226,2.042255573364418,0,28.445297398459473,6,-24.445297398459473,0.07127455735380936,0.28509822941523744,0.03563727867690468
7,348.0,20.0,23.0,2.0,8.0,25.0,0.4714828897338403,9.429657794676805,0,9.684939741347357,4,-1.6849397413473568,0.9598936621626941,7.679149297301553,0.38395746486507765
8,373.0,24.0,22.0,4.0,7.0,27.0,0.25528194667055226,6.126766720093254,0,6.361901855228389,0,0.638098144771611,0.9630401190578106,6.741280833404675,0.28088670139186145
9,374.0,56.0,23.0,3.0,33.0,70.0,0.4714828897338403,26.403041825095055,0,28.445297398459473,6,4.5547026015405265,0.9214640632746931,30.408314088064873,0.5430056087154441
10,375.0,4.0,24.0,2.0,92.0,25.0,0.0346771532561978,0.1387086130247912,4,9.684939741347357,4,82.31506025865264,0.014119867489256886,1.2990278090116336,0.3247569522529084
11,399.0,19.0,21.0,6.0,16.0,53.0,0.07837837837837838,1.4891891891891893,0,10.384976319051255,0,5.615023680948745,0.14339841935482023,2.2943747096771236,0.12075656366721703
12,400.0,3.0,22.0,5.0,3.0,20.0,0.25528194667055226,0.7658458400116568,0,8.781054965486941,0,-5.781054965486941,0.08721569823008024,0.2616470946902407,0.08721569823008024
13,402.0,6.0,24.0,3.0,19.0,70.0,0.0346771532561978,0.2080629195371868,6,28.445297398459473,6,-9.445297398459473,0.007261379371497528,0.13796620805845303,0.02299436800974217
14,427.0,11.0,21.0,7.0,2.0,50.0,0.07837837837837838,0.8621621621621622,0,11.03435902537699,0,-9.03435902537699,0.07813432209150965,0.1562686441830193,0.014206240380274482
15,428.0,33.0,22.0,6.0,5.0,53.0,0.25528194667055226,8.424304240128224,0,10.384976319051255,0,-5.384976319051255,0.8112011025652341,4.056005512826171,0.12290925796442942
16,429.0,17.0,23.0,5.0,0.0,20.0,0.4714828897338403,8.015209125475284,0,8.781054965486941,0,-8.781054965486941,0.9127843017699196,0.0,0.0
