,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,REM_AREA,POP_ESTpoly,REM_AREApoly,POP_DIFF,TOTALFRACT,NEW_POP,NEWDENSITY
0,89.0,293.0,11.0,1.0,0.0,5822.0,0.0,0.0,0,529.5088128320083,1418,-529.5088128320083,0.0,0.0,0.0
1,102.0,174.0,11.0,2.0,326.0,3232.0,0.0,0.0,0,331.5775294949366,309,-5.577529494936584,0.0,0.0,0.0
2,116.0,349.0,11.0,3.0,282.0,3700.0,0.0,0.0,0,403.4904217736428,530,-121.49042177364282,0.0,0.0,0.0
3,131.0,39.0,11.0,4.0,397.0,338.0,0.0,0.0,0,40.69575183004286,11,356.30424816995713,0.0,0.0,0.0
4,201.0,58.0,11.0,8.0,50.0,2633.0,0.0,0.0,0,216.98037236102746,481,-166.98037236102746,0.0,0.0,0.0
5,221.0,10.0,11.0,9.0,436.0,8858.0,0.0,0.0,0,662.1765311862603,2901,-226.17653118626026,0.0,0.0,0.0
6,242.0,462.0,11.0,10.0,203.0,2727.0,0.0,0.0,0,283.46708258107964,364,-80.46708258107964,0.0,0.0,0.0
7,264.0,101.0,11.0,11.0,109.0,6119.0,0.0,0.0,0,517.2164404112068,1451,-408.2164404112068,0.0,0.0,0.0
8,274.0,2273.0,21.0,1.0,149.0,5822.0,0.1182935916542474,268.8813338301043,0,529.5088128320083,1418,-380.5088128320083,0.5077708463720684,75.65785610943819,0.03328546243266088
9,287.0,10.0,11.0,12.0,114.0,1974.0,0.0,0.0,0,233.29408335121846,145,-119.29408335121846,0.0,0.0,0.0
10,297.0,1192.0,21.0,2.0,211.0,3232.0,0.1182935916542474,141.00596125186289,0,331.5775294949366,309,-120.57752949493658,0.4250423724171245,89.68394058001327,0.07523820518457489
11,298.0,1430.0,22.0,1.0,290.0,5822.0,0.15941269008914524,227.9601468274777,0,529.5088128320083,1418,-239.5088128320083,0.4304929429085182,124.84295344347028,0.08730276464578342
12,311.0,327.0,11.0,13.0,213.0,3580.0,0.0,0.0,0,373.5567388754725,677,-160.5567388754725,0.0,0.0,0.0
13,321.0,1236.0,21.0,3.0,269.0,3700.0,0.1182935916542474,146.2108792846498,0,403.4904217736428,530,-134.49042177364282,0.36199494268440835,97.37663958210585,0.07878368898228628
14,322.0,1036.0,22.0,2.0,235.0,3232.0,0.15941269008914524,165.15154693235448,0,331.5775294949366,309,-96.57752949493658,0.49782579894691253,116.98906275252445,0.11292380574567996
15,323.0,401.0,23.0,1.0,336.0,5822.0,0.07716338644173695,30.942517963136517,0,529.5088128320083,1418,-193.5088128320083,0.05843361571894157,19.633694881564367,0.04896183262235503
16,346.0,82.0,21.0,4.0,339.0,338.0,0.1182935916542474,9.700074515648286,0,40.69575183004286,11,298.30424816995713,0.2383559482119554,80.80266644385289,0.9853983712664987
17,347.0,1476.0,22.0,3.0,446.0,3700.0,0.15941269008914524,235.2931305715784,0,403.4904217736428,530,42.50957822635718,0.582548465148556,259.81661545625593,0.17602751724678586
18,348.0,300.0,23.0,2.0,251.0,3232.0,0.07716338644173695,23.149015932521085,0,331.5775294949366,309,-80.57752949493658,0.06977940906700911,17.514631675819285,0.058382105586064284
19,349.0,11.0,24.0,1.0,120.0,5822.0,0.0021834790264656126,0.02401826929112174,11,529.5088128320083,1418,-409.5088128320083,4.535746960423509e-05,0.005442896352508211,0.0004948087593189283
20,362.0,46.0,11.0,15.0,169.0,6025.0,0.0,0.0,0,509.9200780736839,1059,-340.9200780736839,0.0,0.0,0.0
21,372.0,34.0,21.0,5.0,334.0,757.0,0.1182935916542474,4.021982116244412,0,59.84885026032694,250,274.1511497396731,0.06659492940965818,22.242706422825833,0.6541972477301715
22,373.0,147.0,22.0,4.0,125.0,338.0,0.15941269008914524,23.43366544310435,0,40.69575183004286,11,84.30424816995713,0.5758258390450695,71.97822988063368,0.4896478223172359
23,374.0,271.0,23.0,3.0,295.0,3700.0,0.07716338644173695,20.911277725710715,0,403.4904217736428,530,-108.49042177364282,0.05177300635091059,15.273036873518624,0.056358069643980165
24,375.0,77.0,24.0,2.0,403.0,3232.0,0.0021834790264656126,0.16812788503785217,77,331.5775294949366,309,71.42247050506342,0.0005067975459443078,0.20423941101555604,0.0026524598833189096
25,389.0,52.0,11.0,16.0,254.0,88171.0,0.0,0.0,0,1386.2583340009483,2745,-1132.2583340009483,0.0,0.0,0.0
26,399.0,113.0,21.0,6.0,496.0,2200.0,0.1182935916542474,13.367175856929956,0,167.2783944440685,636,328.7216055559315,0.07925183321993573,39.30890927708812,0.3478664537795409
27,400.0,235.0,22.0,5.0,352.0,757.0,0.15941269008914524,37.461982170949135,0,59.84885026032694,250,292.1511497396731,0.6202857163745344,218.34057216383613,0.9291088177184517
28,401.0,98.0,23.0,4.0,197.0,338.0,0.07716338644173695,7.562011871290221,0,40.69575183004286,11,156.30424816995713,0.18581821274297508,36.60618791036609,0.37353252969761314
29,402.0,189.0,24.0,3.0,249.0,3700.0,0.0021834790264656126,0.4126775360020008,189,403.4904217736428,530,-154.49042177364282,0.0010217241133018125,0.2544093042121513,0.0013460809746674671
30,417.0,430.0,11.0,17.0,207.0,3216.0,0.0,0.0,0,393.65567900140553,322,-186.65567900140553,0.0,0.0,0.0
31,427.0,273.0,21.0,7.0,166.0,937.0,0.1182935916542474,32.29415052160954,0,95.4396192865324,126,70.5603807134676,0.337584806073269,56.03907780816266,0.2052713472826471
