Value,Value,Count,P1_001N,POP_AREA,POP_DENS,REP_CAT
115.0,115.0,50.0,78,50.0,1.56,0
116.0,116.0,485.0,62,485.0,0.12783505154639174,0
117.0,117.0,53.0,85,53.0,1.6037735849056605,0
118.0,118.0,22.0,32,22.0,1.4545454545454546,22
119.0,119.0,37.0,53,37.0,1.4324324324324325,22
120.0,120.0,52.0,83,52.0,1.5961538461538463,0
121.0,121.0,31.0,23,31.0,0.7419354838709677,0
122.0,122.0,90.0,43,90.0,0.4777777777777778,0
123.0,123.0,258.0,360,257.0,1.4007782101167314,0
124.0,124.0,65.0,77,65.0,1.1846153846153846,0
125.0,125.0,1428.0,889,1415.0,0.6282685512367491,0
126.0,126.0,3593.0,172,3593.0,0.04787086000556638,82
127.0,127.0,1513.0,14,1513.0,0.009253139458030404,0
128.0,128.0,59.0,46,59.0,0.7796610169491526,0
129.0,129.0,57.0,24,56.0,0.42857142857142855,0
130.0,130.0,11.0,70,11.0,6.363636363636363,23
131.0,131.0,265.0,95,265.0,0.3584905660377358,0
132.0,132.0,103.0,168,103.0,1.6310679611650485,22
133.0,133.0,300.0,850,299.0,2.842809364548495,0
134.0,134.0,18.0,70,18.0,3.888888888888889,0
135.0,135.0,10.0,147,10.0,14.7,0
136.0,136.0,111.0,215,111.0,1.936936936936937,0
137.0,137.0,21.0,12,21.0,0.5714285714285714,0
138.0,138.0,20.0,80,20.0,4.0,0
139.0,139.0,15539.0,276,15436.0,0.017880279865250065,90
140.0,140.0,9.0,25,9.0,2.7777777777777777,0
141.0,141.0,9.0,37,9.0,4.111111111111111,0
142.0,142.0,35.0,101,35.0,2.8857142857142857,22
143.0,143.0,13.0,145,13.0,11.153846153846153,23
144.0,144.0,45.0,76,45.0,1.6888888888888889,0
145.0,145.0,23.0,60,23.0,2.608695652173913,0
146.0,146.0,6915.0,239,6424.0,0.037204234122042344,90
147.0,147.0,6.0,51,6.0,8.5,0
148.0,148.0,20.0,65,20.0,3.25,23
149.0,149.0,12.0,32,12.0,2.6666666666666665,22
150.0,150.0,53.0,131,53.0,2.4716981132075473,22
151.0,151.0,22.0,66,22.0,3.0,0
152.0,152.0,18.0,31,18.0,1.7222222222222223,0
153.0,153.0,118.0,27,118.0,0.2288135593220339,0
154.0,154.0,670.0,23,670.0,0.034328358208955224,82
155.0,155.0,23.0,27,23.0,1.173913043478261,0
156.0,156.0,214.0,268,214.0,1.2523364485981308,0
157.0,157.0,23.0,50,23.0,2.1739130434782608,0
158.0,158.0,35.0,38,35.0,1.0857142857142856,0
159.0,159.0,15.0,48,15.0,3.2,0
160.0,160.0,54.0,114,54.0,2.111111111111111,0
161.0,161.0,310.0,580,310.0,1.8709677419354838,0
162.0,162.0,37.0,60,37.0,1.6216216216216217,0
163.0,163.0,22.0,101,22.0,4.590909090909091,0
164.0,164.0,21.0,65,21.0,3.0952380952380953,22
165.0,165.0,27.0,82,27.0,3.037037037037037,22
166.0,166.0,13.0,24,13.0,1.8461538461538463,0
167.0,167.0,61.0,91,61.0,1.4918032786885247,0
168.0,168.0,23.0,35,23.0,1.5217391304347827,0
169.0,169.0,28.0,64,28.0,2.2857142857142856,0
170.0,170.0,399.0,24,399.0,0.06015037593984962,0
171.0,171.0,33.0,64,33.0,1.9393939393939394,0
172.0,172.0,102.0,110,102.0,1.0784313725490196,0
173.0,173.0,266.0,581,266.0,2.1842105263157894,0
174.0,174.0,18.0,45,18.0,2.5,22
175.0,175.0,31.0,48,31.0,1.5483870967741935,0
176.0,176.0,11.0,19,11.0,1.7272727272727273,22
177.0,177.0,6.0,24,6.0,4.0,0
178.0,178.0,64.0,112,64.0,1.75,22
179.0,179.0,18.0,24,18.0,1.3333333333333333,0
180.0,180.0,7.0,60,7.0,8.571428571428571,0
181.0,181.0,58.0,118,58.0,2.0344827586206895,0
182.0,182.0,199.0,439,197.0,2.228426395939086,0
183.0,183.0,356.0,542,355.0,1.5267605633802817,0
184.0,184.0,107.0,98,107.0,0.9158878504672897,0
185.0,185.0,32.0,37,32.0,1.15625,0
186.0,186.0,880.0,64,818.0,0.07823960880195599,0
187.0,187.0,44.0,82,44.0,1.8636363636363635,22
188.0,188.0,21.0,21,21.0,1.0,0
189.0,189.0,26.0,48,26.0,1.8461538461538463,23
190.0,190.0,6.0,17,6.0,2.8333333333333335,0
191.0,191.0,14.0,41,14.0,2.9285714285714284,22
192.0,192.0,26.0,90,26.0,3.4615384615384617,22
193.0,193.0,26.0,78,26.0,3.0,22
194.0,194.0,48.0,33,48.0,0.6875,0
195.0,195.0,19.0,41,19.0,2.1578947368421053,22
196.0,196.0,729.0,26,729.0,0.03566529492455418,82
197.0,197.0,250.0,310,250.0,1.24,0
198.0,198.0,60.0,58,60.0,0.9666666666666667,0
199.0,199.0,1770.0,345,1334.0,0.25862068965517243,0
200.0,200.0,33.0,34,33.0,1.0303030303030303,90
201.0,201.0,21.0,77,21.0,3.6666666666666665,22
202.0,202.0,128.0,175,128.0,1.3671875,0
203.0,203.0,29.0,38,29.0,1.3103448275862069,0
204.0,204.0,19.0,72,19.0,3.789473684210526,0
205.0,205.0,237.0,197,237.0,0.8312236286919831,0
206.0,206.0,29.0,76,29.0,2.6206896551724137,0
207.0,207.0,39.0,96,39.0,2.4615384615384617,0
208.0,208.0,6.0,15,6.0,2.5,0
209.0,209.0,9.0,34,9.0,3.7777777777777777,0
210.0,210.0,444.0,276,444.0,0.6216216216216216,0
211.0,211.0,21.0,25,21.0,1.1904761904761905,22
212.0,212.0,18.0,21,18.0,1.1666666666666667,22
213.0,213.0,84.0,21,84.0,0.25,0
214.0,214.0,12.0,44,12.0,3.6666666666666665,0
215.0,215.0,30.0,45,30.0,1.5,0
216.0,216.0,37.0,44,37.0,1.1891891891891893,22
217.0,217.0,16.0,55,16.0,3.4375,0
218.0,218.0,18.0,39,18.0,2.1666666666666665,0
219.0,219.0,3940.0,133,3915.0,0.03397190293742018,0
220.0,220.0,27.0,54,27.0,2.0,22
221.0,221.0,28.0,54,28.0,1.9285714285714286,22
222.0,222.0,525.0,341,523.0,0.6520076481835564,0
223.0,223.0,267.0,11,267.0,0.04119850187265917,0
224.0,224.0,40.0,54,40.0,1.35,0
225.0,225.0,13.0,65,13.0,5.0,23
226.0,226.0,5083.0,46,4932.0,0.00932684509326845,90
227.0,227.0,35.0,47,35.0,1.3428571428571427,0
228.0,228.0,11.0,41,11.0,3.727272727272727,0
229.0,229.0,25.0,32,25.0,1.28,0
230.0,230.0,49.0,68,49.0,1.3877551020408163,0
231.0,231.0,9.0,67,9.0,7.444444444444445,0
232.0,232.0,6.0,68,6.0,11.333333333333334,0
233.0,233.0,33.0,59,33.0,1.7878787878787878,0
234.0,234.0,10.0,58,10.0,5.8,0
235.0,235.0,39.0,93,39.0,2.3846153846153846,0
236.0,236.0,448.0,55,448.0,0.12276785714285714,0
237.0,237.0,78.0,134,78.0,1.7179487179487178,0
238.0,238.0,62.0,92,62.0,1.4838709677419355,0
239.0,239.0,120.0,130,118.0,1.1016949152542372,0
240.0,240.0,11.0,31,11.0,2.8181818181818183,22
241.0,241.0,49.0,18,49.0,0.3673469387755102,0
242.0,242.0,114.0,47,114.0,0.41228070175438597,0
243.0,243.0,227.0,232,227.0,1.0220264317180616,0
244.0,244.0,27.0,63,27.0,2.3333333333333335,0
245.0,245.0,29.0,81,29.0,2.793103448275862,0
246.0,246.0,48.0,74,48.0,1.5416666666666667,0
247.0,247.0,25.0,50,25.0,2.0,0
248.0,248.0,31.0,44,31.0,1.4193548387096775,0
249.0,249.0,24.0,50,24.0,2.0833333333333335,22
250.0,250.0,12.0,28,12.0,2.3333333333333335,22
251.0,251.0,18.0,31,18.0,1.7222222222222223,0
252.0,252.0,101.0,145,101.0,1.4356435643564356,0
253.0,253.0,87.0,137,87.0,1.5747126436781609,0
254.0,254.0,8.0,35,8.0,4.375,0
255.0,255.0,24.0,57,24.0,2.375,0
256.0,256.0,68.0,28,68.0,0.4117647058823529,0
257.0,257.0,88.0,103,88.0,1.1704545454545454,0
258.0,258.0,64.0,61,64.0,0.953125,0
259.0,259.0,2983.0,86,2978.0,0.02887844190732035,0
260.0,260.0,275.0,10,275.0,0.03636363636363636,0
261.0,261.0,50.0,17,50.0,0.34,0
